source_id,title,file_name,relative_path,absolute_path,sha256,file_size_bytes,modified_utc,source_priority,source_type,disclosure_level,origin,author_or_owner,date_created,date_accessed,jurisdiction,license_status,confidentiality_notes,pii_status,verification_status,ingestion_status,legal_review_status,wet_lab_validation_status,provenance,summary,evidence_label,risk_flags,allowed_use_cases,prohibited_use_cases
ASP-P1-C954B1021413,confidentiality_policy,confidentiality_policy.md,00_ADMIN/confidentiality_policy.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\confidentiality_policy.md,c954b10214136ad060410b363f3a9d1123078d82eac2b849756a43d89628b805,32325,2026-06-09T17:51:07.696767+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,00_ADMIN/confidentiality_policy.md,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-0114E10B98E2,decision_log,decision_log.md,00_ADMIN/decision_log.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\decision_log.md,0114e10b98e2d00eee5f9704c8cec57bd506b16c84fde1ad562a82e596879e86,32084,2026-06-09T17:53:20.615093+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,00_ADMIN/decision_log.md,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-326062ED6C8D,file_inventory,file_inventory.csv,00_ADMIN/file_inventory.csv,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\file_inventory.csv,326062ed6c8d21809d97318208e9b942713731599684afc1762853f612f4e553,13880,2026-06-09T17:56:22.607095+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,00_ADMIN/file_inventory.csv,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-93361FE7F40A,metadata,metadata.csv,00_ADMIN/metadata.csv,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\metadata.csv,93361fe7f40ab9b366d493da522fe58ea27560b62d25864fbb2dc322b88141ac,13900,2026-06-09T17:57:01.111101+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,00_ADMIN/metadata.csv,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-B0B013EEA441,asperitas_agent_source_collection_manifest,asperitas_agent_source_collection_manifest.zip,00_ADMIN/source_manifests/asperitas_agent_source_collection_manifest.zip,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\source_manifests\asperitas_agent_source_collection_manifest.zip,b0b013eea441ee4f8f78cd79249321a5af13f9ba640be41a9a9c542dd09ada04,74619,2026-06-09T15:57:36.752193+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,registered,not_reviewed,not_applicable,00_ADMIN/source_manifests/asperitas_agent_source_collection_manifest.zip,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,IP|external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-89D5EFFDA6C1,asperitas_regulatory_sources_session_01_manifest_pack,asperitas_regulatory_sources_session_01_manifest_pack.zip,00_ADMIN/source_manifests/asperitas_regulatory_sources_session_01_manifest_pack.zip,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\source_manifests\asperitas_regulatory_sources_session_01_manifest_pack.zip,89d5effda6c1d8337a8c91af1fa0c4d7cbff56d3380c6bc70d8765a67290e967,8249,2026-06-09T16:47:28.196908+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,registered,not_reviewed,not_applicable,00_ADMIN/source_manifests/asperitas_regulatory_sources_session_01_manifest_pack.zip,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,IP|external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-A2C6B7DE58B4,source_priority_policy,source_priority_policy.md,00_ADMIN/source_priority_policy.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\source_priority_policy.md,a2c6b7de58b427320d8930c1bcdd14320dad9d66e425149217c8c4f4a7b0f8b8,38138,2026-06-09T23:30:40.710652+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,00_ADMIN/source_priority_policy.md,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-F4F47B7A1F20,asperitas_agent_source_registry_400plus,asperitas_agent_source_registry_400plus.csv,00_ADMIN/source_registries/asperitas_agent_source_registry_400plus.csv,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\source_registries\asperitas_agent_source_registry_400plus.csv,f4f47b7a1f202bf7a8a8076649ae58f9b2dee2922bfb3e35d9bce217ebb2dd7f,195002,2026-06-09T15:57:34.941339+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,chunked,not_reviewed,not_applicable,00_ADMIN/source_registries/asperitas_agent_source_registry_400plus.csv,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-53DDD50B5BA9,asperitas_agent_source_registry_400plus,asperitas_agent_source_registry_400plus.xlsx,00_ADMIN/source_registries/asperitas_agent_source_registry_400plus.xlsx,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\source_registries\asperitas_agent_source_registry_400plus.xlsx,53ddd50b5ba905e3686417b66e2b176bf9ac0850dd30a9fea6104f125b7c233a,55994,2026-06-09T15:57:28.362710+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,registered,not_reviewed,not_applicable,00_ADMIN/source_registries/asperitas_agent_source_registry_400plus.xlsx,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P1-AA8571E8C2CA,asperitas_codex_source_registry_382_targets,asperitas_codex_source_registry_382_targets.xlsx,00_ADMIN/source_registries/asperitas_codex_source_registry_382_targets.xlsx,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\00_ADMIN\source_registries\asperitas_codex_source_registry_382_targets.xlsx,aa8571e8c2ca19f07344056ed8c7a76f8a0790c0c17fe0a35415333be679a034,337374,2026-06-09T15:53:54.255104+00:00,P1,internal,confidential,manual,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: confidential.,unknown,unverified,registered,not_reviewed,not_applicable,00_ADMIN/source_registries/asperitas_codex_source_registry_382_targets.xlsx,Registered local source file classified as P1/internal with confidential disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,strategy|science|compliance|market|fundraising|operations|agent_development|rag|historical_context,public|external_unapproved
ASP-P0-0EC15B71AE22,Asperitas Operating System v8.0 (2),Asperitas Operating System v8.0 (2).pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas Operating System v8.0 (2).pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas Operating System v8.0 (2).pdf,0ec15b71ae22f419db67a640975deef4cabcc764772b4487fa6063ab00910d70,413065,2026-06-08T17:23:27.199195+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas Operating System v8.0 (2).pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-1C948A1A1B92,Asperitas Operating System v9.0,Asperitas Operating System v9.0.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas Operating System v9.0.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas Operating System v9.0.pdf,1c948a1a1b9203aa0874fea20d5c66b02a75b05358819c352903419e63fd69aa,427794,2026-06-08T17:23:29.434886+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas Operating System v9.0.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-2E37CA74827B,Asperitas_AOS_v10_0_Prompt,Asperitas_AOS_v10_0_Prompt.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_0_Prompt.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_0_Prompt.pdf,2e37ca74827bb5e0e64f961f87df05ecd1f2181439755690926779b2b93e818b,321455,2026-06-09T15:24:44.346836+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_0_Prompt.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-0B45C6C438A3,Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt,Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt.md,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt.md,0b45c6c438a36bee835f58daf1c641827709c16c234e6709e79e81df44a8c70f,1505,2026-06-09T17:08:00.859821+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_2_Universal_AI_Tool_Master_Prompt.md,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-30B348BF8B7F,Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution,Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution.pdf,30b348bf8b7fd9d4340d37f141041c5374a8073df888af420359d20404758e10,160189,2026-06-09T17:07:57.497569+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_2_Universal_Prompt_And_Codex_Agent_Constitution.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-593FAD23CB9A,Asperitas_AOS_v10_3_Codex_AGENTS,Asperitas_AOS_v10_3_Codex_AGENTS.md,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Codex_AGENTS.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_3_Codex_AGENTS.md,593fad23cb9a0e00d4425ba8bee6c4b623ede6138cdee3f1c9dfc2c6101787ef,2668,2026-06-09T17:08:11.298420+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Codex_AGENTS.md,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-2957F6A2A0C4,Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution,Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution.pdf,2957f6a2a0c42e3efee200c163787113ef7a0a2505e3d8fb85bcbfdf2cb53075,55215,2026-06-09T17:08:05.738642+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Master_Format_Advanced_Prompt_Constitution.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-984903424FEE,Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt,Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt.md,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt.md,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt.md,984903424feeec5c5949d1d3a2b5861e6f4968c5db64599a7d6c177196aec8a6,15297,2026-06-09T17:08:08.757392+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_AOS_v10_3_Universal_AI_Tool_Master_Prompt.md,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-6AC9A18AADEF,Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0,Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0.pdf,6ac9a18aadeff68e44978c071673d56d5c7dbbb82f2d560f20222472751989e3,571765,2026-06-09T15:53:21.317628+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_Codex_AI_Agent_Build_Guidebook_v1.0.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
ASP-P0-DAF4591D3E47,Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2,Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2.pdf,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2.pdf,C:\Users\jbc89\OneDrive\Pictures\바탕 화면\asperitas-agent\01_RAW_SOURCES\P0_ACTIVE_PROMPT\Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2.pdf,daf4591d3e475b03378b4c6e649107dec387ba3cee9c7be40848345364a4d6aa,430222,2026-06-09T16:42:39.839031+00:00,P0,prompt,restricted,uploaded,,,2026-06-11,unknown,restricted,Default classification from source priority and repository path: restricted.,unknown,partially_verified,chunked,not_reviewed,not_applicable,01_RAW_SOURCES/P0_ACTIVE_PROMPT/Asperitas_Codex_Master_Constitution_DB_Integration_Guide_v1_2.pdf,Registered local source file classified as P0/prompt with restricted disclosure. Content claims require retrieval-level citation.,Document-Supported Fact,external_comm,agent_development|operations|rag|historical_context,public|external_unapproved
